hypothesis,evidence,support,confidence,likely_impact,recommendation
Dataset size limitations,Only 2 failed physical bearings with RUL labels; 8624 failed rows are repeated timestamp/axis samples from those bearings.,supported,high,"LOBO trains on one failed bearing and tests on the other, so performance is dominated by trajectory idiosyncrasies.",Ingest additional independent failure trajectories before making generalization claims.
Only two failed bearings available for LOBO,"Failed-bearing summary contains bearings 3,4; LOBO has two folds of 4312 test rows each.",supported,high,The LOBO estimate is honest but statistically thin and asymmetric.,"Treat Set-1 LOBO as a blocking sanity check, not a production estimate."
Bearing-to-bearing distribution shift,6/11 selected source features have KS >= 0.50 between bearings 3 and 4; median KS = 0.547.,supported,high,A model fit on one bearing sees a materially different feature distribution on the held-out bearing.,Use drift diagnostics as a required gate for future feature sets; add more bearings before trusting LOBO averages.
Feature distribution drift across bearings,"Top drifted selected source features are spec_centroid_mean, std_mean, rms_mean, kurtosis_mean, spec_centroid_std.",supported,high,The current selected features encode bearing-specific scale/trajectory effects rather than stable failure progression.,Prefer features normalized by training-only operating context and validate drift under LOBO.
Feature importance stability across validation folds,LOBO feature-importance Spearman correlation across the two held-out folds is 0.595.,weakened,medium,Unstable importance means fold-specific shortcuts may dominate the model.,Audit top features per fold before retuning; do not optimize a feature set that changes behavior by held-out bearing.
Label quality and RUL generation assumptions,Label checks found 0 missing/non-monotonic failed-bearing RUL issues; labels assume failure at each failed bearing's last timestamp.,weakened,medium,"The mechanical assumption is provisional, but no basic monotonicity/missing-label defect explains the validation collapse.",Document label assumptions and validate failure endpoints against IMS metadata before production claims.
Selected features remain predictive under LOBO,Mean sign-flip rate between train-bearing and test-bearing feature/RUL Spearman correlations is 4.00%.,inconclusive,medium,Features that reverse or lose correlation across bearings cannot support stable unseen-bearing predictions.,"Rebuild feature selection inside leakage-safe LOBO, after deciding the deployment validation target."
Hyperparameters inherited from the leaky tuning regime,Diagnostics use the fixed parameters recorded in offline validation; no leakage-safe tuning has been run.,inconclusive,low,"Leaky-selected hyperparameters may worsen generalization, but this root cause cannot be isolated without a controlled retuning study.","Retune only after the feature/validation root causes are documented, using the evaluation policy."
Model bias vs variance,"Mean LOBO train MAE = 1.83h, mean LOBO test MAE = 226.46h, max generalization gap = 243.27h.",supported,high,"Large train/test gaps indicate high variance and distribution-shift overfit, not simply a uniformly weak regressor.","Constrain future tuning by worst-fold LOBO and train/test gap, not just mean test MAE."
Underfitting vs overfitting,Learning-curve test MAE improves by 7.37h from 25% to 100% training rows while train error remains far lower than test error.,overfitting/distribution shift supported,medium,Adding more rows from the same single bearing has limited value compared with adding independent bearings.,Prioritize additional failure trajectories and leakage-safe feature selection before model complexity changes.
Current feature engineering loses temporal information,Selected inputs are row-level aggregates/rolling/EMA/z-score features; no sequence model or trajectory-level state is used in Phase 1 validation.,supported as a limitation,medium,The model sees compressed snapshots and may miss monotonic degradation patterns needed for lead-time decisions.,Consider trajectory-aware features or sequence baselines after leakage-free tabular baselines are stable.
Another validation design better reflects deployment reality,LOBO tests unseen-bearing generalization; purged CV tests known-bearing monitoring. The evaluation policy separates these deployment questions.,supported,high,No single Set-1 split answers all production questions; model selection must state the target deployment scenario.,Keep LOBO primary for new-bearing claims and purged CV secondary for known-asset monitoring.
